NS,TIPOVIVIENDADONDEVIVE,REGIMENTENENCIAVIVIENDADONDEVIVE,VIVESUPADRE,VIVESUMADRE,PERSONASCONQUIENESVIVE,NIVELEDUCATIVOPADRE,NIVELEDUCATIVOMADRE,TRABAJASUPADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUPADRE,TRABAJASUMADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUMADRE,TIENECONOCIMIENTOSENCOMPUTACION,COMPUTADORAQUEUTILIZAFRECUENTEMENTEES,FINANCIAMIENTODESUSESTUDIOSUNIVERSITARIOS
314,0,2,1,1,1,4,4,2,2,2,2,1,3,2
315,1,2,1,1,1,4,0,2,0,1,2,1,1,2
316,0,1,1,1,1,5,4,2,0,1,2,1,3,2
317,0,2,1,1,1,5,4,2,0,2,0,1,3,2
318,0,2,1,1,1,4,4,2,0,2,0,1,3,2
319,0,2,0,1,0,1,3,0,2,2,2,1,1,2
320,1,1,1,1,1,5,4,2,0,2,0,1,3,2
321,0,2,1,1,3,3,4,2,1,2,0,1,0,2
322,0,2,1,1,1,4,0,2,0,2,0,1,3,2
323,0,2,1,1,1,3,3,2,2,2,2,1,1,2
324,0,2,1,1,1,4,4,2,0,2,0,1,0,2
325,0,2,1,1,1,4,4,2,0,2,1,1,3,2
326,0,2,1,1,1,0,0,2,1,2,0,0,1,2
327,0,2,1,1,1,4,4,2,1,2,0,1,3,2
328,0,2,1,1,1,4,5,2,0,1,2,1,3,2
329,0,0,1,1,1,3,5,2,0,2,0,1,3,2
330,0,2,1,1,1,2,4,2,0,2,0,1,3,2
331,0,2,1,1,1,3,3,2,1,2,1,1,3,2
332,1,2,1,1,1,0,3,2,1,1,2,1,3,2
333,1,1,1,1,1,0,0,2,1,2,1,1,2,2
334,0,2,1,1,1,4,0,2,0,2,1,1,3,2
335,1,0,1,1,1,2,2,2,1,2,1,1,3,2
336,0,2,1,0,1,0,1,2,1,0,2,1,0,2
337,0,2,1,1,1,0,0,2,1,2,1,1,0,2
338,1,1,1,1,1,5,0,2,0,2,1,1,3,2
339,0,2,1,1,1,4,4,2,0,2,0,1,3,2
340,0,2,0,1,1,1,0,0,2,2,1,1,3,2
341,0,2,1,1,1,4,2,2,0,2,0,1,3,2
342,0,2,1,1,1,4,0,2,1,2,0,1,3,2
343,0,2,1,1,1,4,4,2,0,2,0,1,3,2
344,0,2,1,1,1,4,4,2,0,2,0,1,3,2
345,0,1,1,1,1,5,0,2,1,2,0,1,3,1
346,1,2,1,1,1,4,4,2,0,1,2,1,0,2
